eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
79.72,-2.009999990463257,81.62,-1.9900000095367432,64.0,0.0007076596957631409,0.0,2.707516670227051,-0.0005672656116075814,0.4912148416042328,0.011756300926208496,1.0,256.0,254.43120916100003,16384.0
85.32,-2.5199999809265137,79.32,-2.2100000381469727,66.0,0.00016435359430033714,0.0,2.706777572631836,-0.0005061627016402781,0.18378674983978271,0.04011046886444092,2.0,512.0,501.30083107400003,32768.0
83.4,-2.630000114440918,77.8,-1.440000057220459,82.0,0.00025934725999832153,0.0,2.706632375717163,-0.00029585359152406454,0.20511429011821747,0.020278215408325195,3.0,768.0,700.408063234,49152.0
88.6,-2.819999933242798,75.51,-2.2799999713897705,78.0,0.0006520022288896143,0.0,2.70236873626709,-0.0007847797241993248,0.1523333638906479,0.060891926288604736,4.0,1024.0,908.3892866140001,65536.0
81.49,-2.740000009536743,81.24,-1.5499999523162842,67.0,0.0007509076385758817,0.0,2.6974380016326904,-0.0005167992203496397,0.13590963184833527,0.046515703201293945,5.0,1280.0,1152.853707898,81920.0
86.04,-2.950000047683716,83.56,-2.6700000762939453,75.0,0.002712532179430127,0.012369791977107525,2.6865386962890625,-0.0016643669223412871,0.14812259376049042,0.06710493564605713,6.0,1536.0,1369.172615388,98304.0
92.07,-2.690000057220459,77.93,-2.3299999237060547,83.0,0.001382671413011849,0.0028889973182231188,2.6944313049316406,-0.0007688845507800579,0.13983681797981262,0.1338483691215515,7.0,1792.0,1565.828085224,114688.0
80.17,-2.509999990463257,78.57,-1.600000023841858,84.0,0.0009379417169839144,0.0008341471548192203,2.695958375930786,-0.0014957073144614697,0.14123010635375977,0.1706533432006836,8.0,2048.0,1759.362338714,131072.0
84.1,-2.0299999713897705,82.84,-1.8799999952316284,84.0,0.003151149256154895,0.02280680276453495,2.686774492263794,-0.004082001280039549,0.1167592704296112,0.26562899351119995,9.0,2304.0,1953.833692245,147456.0
83.95,-2.130000114440918,84.57,-2.059999942779541,83.0,0.0038136374205350876,0.037109375,2.6836555004119873,-0.0051890285685658455,0.09954633563756943,0.3250243067741394,10.0,2560.0,2150.294595783,163840.0
86.31,-1.4600000381469727,87.74,-1.649999976158142,84.0,0.003507069544866681,0.02964274026453495,2.687253713607788,-0.005661171395331621,0.10111680626869202,0.33606594800949097,11.0,2816.0,2344.18779958,180224.0
81.71,-1.4600000381469727,79.36,-1.0499999523162842,85.0,0.004826271440833807,0.0449625663459301,2.6737194061279297,-0.00672536576166749,0.09535922855138779,0.40360063314437866,12.0,3072.0,2536.405224403,196608.0
86.01,-1.600000023841858,83.62,-1.440000057220459,88.0,0.004069212358444929,0.0344441719353199,2.6667544841766357,-0.007191268261522055,0.10041967034339905,0.4616907835006714,13.0,3328.0,2721.513295645,212992.0
77.44,-0.38999998569488525,81.39,-0.8799999952316284,84.0,0.003789919428527355,0.03338623046875,2.6604197025299072,-0.007690025493502617,0.07085666805505753,0.38923293352127075,14.0,3584.0,2915.223834476,229376.0
83.49,-0.7699999809265137,78.61,-1.1100000143051147,80.0,0.005068208556622267,0.0520222969353199,2.6573259830474854,-0.009444724768400192,0.07234611362218857,0.4207191467285156,15.0,3840.0,3118.894461895,245760.0
75.52,-1.0499999523162842,86.52,-1.4199999570846558,77.0,0.005506377667188644,0.0653279647231102,2.6381726264953613,-0.010928983800113201,0.06916704773902893,0.4982568025588989,16.0,4096.0,3330.481212393,262144.0
78.59,-0.27000001072883606,84.38,-0.6800000071525574,74.0,0.005306299775838852,0.0597330741584301,2.6296422481536865,-0.011491005308926105,0.060702335089445114,0.4405263066291809,17.0,4352.0,3549.936870561,278528.0
86.82,-0.07000000029802322,84.07,-0.5,75.0,0.005669452250003815,0.0660807266831398,2.6249945163726807,-0.011519408784806728,0.05324408411979675,0.41193991899490356,18.0,4608.0,3768.199282725,294912.0
83.34,0.029999999329447746,80.74,-0.75,76.0,0.006895264144986868,0.08514404296875,2.6170270442962646,-0.012910637073218822,0.055912744253873825,0.452614963054657,19.0,4864.0,3982.077719718,311296.0
78.89,-0.4399999976158142,80.18,-0.6499999761581421,76.0,0.006732208654284477,0.0840657576918602,2.6154026985168457,-0.012848292477428913,0.06349220126867294,0.3994329571723938,20.0,5120.0,4197.433683791,327680.0
79.01,-0.12999999523162842,81.05,-0.4099999964237213,76.0,0.007888928055763245,0.10369873046875,2.6015994548797607,-0.014098689891397953,0.05519236624240875,0.3616601824760437,21.0,5376.0,4410.552373132,344064.0
85.21,0.2199999988079071,83.43,-0.4300000071525574,76.0,0.006701754871755838,0.0795084610581398,2.6050608158111572,-0.013864750973880291,0.04864128306508064,0.4137883186340332,22.0,5632.0,4625.599109063,360448.0
80.29,0.25999999046325684,83.56,-0.27000001072883606,76.0,0.007872536778450012,0.1022745743393898,2.5938560962677,-0.014234487898647785,0.049793511629104614,0.4161408543586731,23.0,5888.0,4839.567800075,376832.0
83.06,0.3100000023841858,79.85,0.1899999976158142,77.0,0.008094972930848598,0.1056722030043602,2.5865368843078613,-0.014942284673452377,0.04788846895098686,0.40037351846694946,24.0,6144.0,5051.111407821,393216.0
78.2,0.41999998688697815,84.15,0.07999999821186066,76.0,0.009001086466014385,0.1216227188706398,2.5718486309051514,-0.017285162582993507,0.04506075382232666,0.40167462825775146,25.0,6400.0,5264.704009441,409600.0
78.84,0.25999999046325684,80.75,0.1899999976158142,77.0,0.008465656079351902,0.1131591796875,2.574708938598633,-0.017714928835630417,0.0475437231361866,0.4255492687225342,26.0,6656.0,5475.659437208,425984.0
81.37,0.3100000023841858,82.27,0.5099999904632568,76.0,0.009365111589431763,0.12896728515625,2.537012815475464,-0.019290460273623466,0.047568429261446,0.46421241760253906,27.0,6912.0,5689.546778796,442368.0
85.53,0.5799999833106995,91.28,0.20999999344348907,78.0,0.00960340816527605,0.1301066130399704,2.519998550415039,-0.01700742170214653,0.04676970839500427,0.47832220792770386,28.0,7168.0,5897.626407091,458752.0
94.64,0.9800000190734863,90.84,0.6000000238418579,76.0,0.011236106045544147,0.1519368439912796,2.5181527137756348,-0.016172129660844803,0.05082235857844353,0.46051549911499023,29.0,7424.0,6111.437717163,475136.0
96.43,0.8799999952316284,83.78,0.8100000023841858,79.0,0.011473234742879868,0.1628011018037796,2.5077219009399414,-0.018067562952637672,0.0449228435754776,0.4183787703514099,30.0,7680.0,6317.321178516,491520.0
83.46,1.0499999523162842,84.13,0.6499999761581421,92.0,0.01152488961815834,0.1632080078125,2.473381757736206,-0.021204814314842224,0.04776191711425781,0.533294141292572,31.0,7936.0,6494.445127563,507904.0
89.28,1.2200000286102295,95.99,1.3300000429153442,93.0,0.011000942438840866,0.1540323942899704,2.468871831893921,-0.01878947764635086,0.03985549882054329,0.5059467852115631,32.0,8192.0,6669.865703777,524288.0
88.5,1.409999966621399,86.58,1.2200000286102295,93.0,0.011426829732954502,0.1593220978975296,2.4776127338409424,-0.020602719858288765,0.039581846445798874,0.5731382966041565,33.0,8448.0,6845.700403469,540672.0
93.57,0.949999988079071,93.32,1.1200000047683716,93.0,0.011950470507144928,0.1609090119600296,2.48974871635437,-0.018549051135778427,0.06102724000811577,0.5418500900268555,34.0,8704.0,7021.083751141,557056.0
97.96,1.7200000286102295,88.35,0.9900000095367432,92.0,0.012844715267419815,0.1788533478975296,2.480816125869751,-0.015040360391139984,0.05582824721932411,0.5995522439479828,35.0,8960.0,7197.441944378,573440.0
