eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.34,-3.069999933242798,84.08,-3.240000009536743,27.0,0.00020234512339811772,0.0,2.707843542098999,-0.00025273035862483084,0.34608808159828186,0.0014126896858215332,1.0,256.0,598.375979983,16384.0
84.05,-2.640000104904175,82.51,-2.680000066757202,24.0,6.91912355250679e-05,0.0,2.707343339920044,-0.00014491213369183242,0.17056041955947876,0.013674616813659668,2.0,512.0,1266.409752537,32768.0
81.3,-2.509999990463257,85.36,-2.6600000858306885,26.0,8.549236372346058e-05,0.0,2.7072627544403076,-0.0002578152052592486,0.1462618112564087,0.016376495361328125,3.0,768.0,1879.353441037,49152.0
81.86,-1.9900000095367432,82.68,-2.190000057220459,26.0,0.0003740112588275224,0.0,2.706183671951294,-0.00047917943447828293,0.14972279965877533,0.04090780019760132,4.0,1024.0,2491.9346041790004,65536.0
85.29,-2.369999885559082,81.97,-2.609999895095825,25.0,0.002036374993622303,0.00531005859375,2.7008132934570312,-0.0018291525775566697,0.15024419128894806,0.14113211631774902,5.0,1280.0,3140.383601474,81920.0
85.06,-3.3399999141693115,77.54,-2.0999999046325684,26.0,0.0014535392401739955,0.0025227863807231188,2.6979124546051025,-0.0018642969662323594,0.143864706158638,0.24124681949615479,6.0,1536.0,3752.3508515330004,98304.0
83.72,-2.3399999141693115,79.57,-2.299999952316284,27.0,0.0027806770522147417,0.01694742776453495,2.6858632564544678,-0.0027881497517228127,0.12560491263866425,0.3150668740272522,7.0,1792.0,4340.592112106,114688.0
77.68,-2.25,82.05,-1.9800000190734863,27.0,0.003709601005539298,0.02286783792078495,2.669767141342163,-0.0036119131837040186,0.1421581357717514,0.36073195934295654,8.0,2048.0,4937.743201636999,131072.0
83.61,-1.7999999523162842,81.43,-2.0299999713897705,27.0,0.004557017702609301,0.03924560546875,2.654298782348633,-0.0042806812562048435,0.11398637294769287,0.4080362319946289,9.0,2304.0,5535.576418670999,147456.0
84.83,-1.9299999475479126,85.17,-1.090000033378601,28.0,0.004681985359638929,0.0362955741584301,2.641289472579956,-0.006024043541401625,0.10854487866163254,0.43769896030426025,10.0,2560.0,6115.239116699,163840.0
78.99,-1.3300000429153442,81.27,-1.6200000047683716,28.0,0.005052540451288223,0.0477294921875,2.6302616596221924,-0.006680232007056475,0.10216277092695236,0.5132893919944763,11.0,2816.0,6696.097682410999,180224.0
82.04,-1.090000033378601,79.76,-1.0399999618530273,28.0,0.005131931509822607,0.0496419258415699,2.602494478225708,-0.006636314559727907,0.10148482769727707,0.5345666110515594,12.0,3072.0,7279.315282822,196608.0
83.85,-0.9300000071525574,81.36,-1.2699999809265137,28.0,0.005018068011850119,0.05413818359375,2.6062610149383545,-0.009206551127135754,0.07686679810285568,0.49699318408966064,13.0,3328.0,7859.245930493999,212992.0
78.62,-0.7900000214576721,79.82,-0.949999988079071,28.0,0.0038876470644026995,0.0368448905646801,2.5965702533721924,-0.007342818658798933,0.07666057348251343,0.5408052802085876,14.0,3584.0,8442.747593003,229376.0
83.98,-0.699999988079071,77.69,-0.8999999761581421,27.0,0.00458545982837677,0.04833984375,2.5937812328338623,-0.009523911401629448,0.06827198714017868,0.5574756562709808,15.0,3840.0,9032.36517416,245760.0
78.32,-0.8299999833106995,83.17,-0.699999988079071,27.0,0.005645581055432558,0.063232421875,2.5984764099121094,-0.01013812143355608,0.07523372024297714,0.557568371295929,16.0,4096.0,9631.75434886,262144.0
78.83,-1.0700000524520874,78.4,-1.1699999570846558,27.0,0.005776565987616777,0.0649007186293602,2.5715832710266113,-0.010031295008957386,0.0809088945388794,0.6098326146602631,17.0,4352.0,10217.73454666,278528.0
83.56,-0.6200000047683716,75.0,-0.9599999785423279,28.0,0.0051043275743722916,0.05889892578125,2.5936973094940186,-0.012833282351493835,0.06584756821393967,0.5553787648677826,18.0,4608.0,10799.49204506,294912.0
79.69,-0.23000000417232513,76.83,-0.46000000834465027,28.0,0.006278937216848135,0.0750732421875,2.582151174545288,-0.013617883436381817,0.0653950497508049,0.5478719472885132,19.0,4864.0,11381.358457835,311296.0
82.2,-0.5899999737739563,86.6,-0.46000000834465027,27.0,0.007140745874494314,0.0941365584731102,2.581671714782715,-0.013520363718271255,0.07512825727462769,0.578289121389389,20.0,5120.0,11973.131265963999,327680.0
81.43,-0.12999999523162842,79.65,0.12999999523162842,27.0,0.006751862820237875,0.0841267928481102,2.590545415878296,-0.013273312710225582,0.06132092699408531,0.48298192024230957,21.0,5376.0,12564.831821671,344064.0
81.98,-0.47999998927116394,78.99,0.23000000417232513,27.0,0.006906882394105196,0.0918782576918602,2.588238477706909,-0.013648804277181625,0.06359416991472244,0.48959779739379883,22.0,5632.0,13159.004528349,360448.0
77.15,0.10000000149011612,82.45,0.3199999928474426,27.0,0.0077809542417526245,0.1012166365981102,2.5699703693389893,-0.013514594174921513,0.05896678566932678,0.47361403703689575,23.0,5888.0,13746.773656174,376832.0
78.74,0.3100000023841858,80.55,0.6000000238418579,28.0,0.008458687923848629,0.1129964217543602,2.5635011196136475,-0.01381461787968874,0.0595780611038208,0.44442373514175415,24.0,6144.0,14322.467687545,393216.0
81.53,0.3199999928474426,84.83,0.5099999904632568,28.0,0.009435727261006832,0.1226603165268898,2.5720760822296143,-0.010797147639095783,0.0466991625726223,0.37477993965148926,25.0,6400.0,14902.242352565,409600.0
80.08,0.20000000298023224,81.8,0.6200000047683716,28.0,0.00886841956526041,0.1200154647231102,2.5644562244415283,-0.012433215044438839,0.04784175753593445,0.5146185457706451,26.0,6656.0,15479.390437043,425984.0
76.53,0.5699999928474426,80.82,0.23000000417232513,28.0,0.0113152377307415,0.1538492888212204,2.5561180114746094,-0.015737077221274376,0.055715084075927734,0.47557514905929565,27.0,6912.0,16053.572750170999,442368.0
76.09,0.7799999713897705,82.66,0.6399999856948853,28.0,0.008169271983206272,0.1043497696518898,2.5573203563690186,-0.014316283166408539,0.049453746527433395,0.3920539617538452,28.0,7168.0,16626.435975273,458752.0
80.91,0.9100000262260437,79.63,1.1100000143051147,28.0,0.01083358097821474,0.1454060822725296,2.543414831161499,-0.010886956006288528,0.052284348756074905,0.4748878479003906,29.0,7424.0,17197.622130626998,475136.0
85.24,1.3799999952316284,78.21,1.0,28.0,0.010246426798403263,0.1385091096162796,2.527765989303589,-0.015177507884800434,0.03729134425520897,0.5064166188240051,30.0,7680.0,17780.09125515,491520.0
79.72,1.0700000524520874,81.03,1.2100000381469727,28.0,0.010130558162927628,0.1389973908662796,2.534381866455078,-0.01406926941126585,0.05161559581756592,0.5453793406486511,31.0,7936.0,18359.789526351,507904.0
84.11,1.1100000143051147,78.49,1.2699999809265137,28.0,0.011528289876878262,0.1540323942899704,2.5296247005462646,-0.016302376985549927,0.05083060637116432,0.5603918731212616,32.0,8192.0,18931.770232748,524288.0
82.37,0.8600000143051147,85.99,1.2599999904632568,27.0,0.012141565792262554,0.156982421875,2.535824775695801,-0.014839564450085163,0.049551088362932205,0.6005045473575592,33.0,8448.0,19522.3664917,540672.0
85.46,1.350000023841858,78.19,1.2400000095367432,27.0,0.010239101015031338,0.14007568359375,2.5144460201263428,-0.016317112371325493,0.047828029841184616,0.617218554019928,34.0,8704.0,20112.032807986,557056.0
84.9,1.2799999713897705,86.6,1.9199999570846558,27.0,0.012079350650310516,0.1639811247587204,2.4983184337615967,-0.011416077613830566,0.05312534049153328,0.6509512960910797,35.0,8960.0,20700.276534929,573440.0
82.47,1.5499999523162842,87.95,1.649999976158142,27.0,0.011585325933992863,0.1628824919462204,2.477613687515259,-0.015940366312861443,0.05345384404063225,0.6639821529388428,36.0,9216.0,21287.637582966,589824.0
84.69,1.5199999809265137,84.65,1.3899999856948853,28.0,0.01348144467920065,0.1722208708524704,2.470959424972534,-0.013664926402270794,0.06483811140060425,0.617073267698288,37.0,9472.0,21872.737358825,606208.0
