#{"t_start": 1620412289.453328, "env_id": "procgen-fruitbot-v0"}
r,l,t
-7.0,78,1.174132
-3.0,87,1.627706
-7.0,101,1.874048
0.0,65,1.978261
-8.0,87,2.205031
0.0,94,2.3491
0.0,44,2.514363
2.0,65,2.619692
0.0,58,2.795236
1.0,58,2.887225
-7.0,94,3.125026
-4.0,108,3.39541
0.0,58,3.504019
-3.0,173,3.944355
1.0,44,4.014938
1.0,51,4.096864
-2.0,72,4.294759
1.0,72,4.505353
-4.0,69,4.620501
0.0,57,4.71514
-3.0,94,4.955501
2.0,80,5.174291
1.0,65,5.280349
-8.0,87,5.513176
-3.0,227,6.112091
-3.0,94,6.350299
0.0,87,6.497468
-3.0,87,6.718072
2.0,80,6.928666
-16.0,68,7.039905
2.0,58,7.219929
1.0,72,7.337188
1.0,108,7.597653
-4.0,53,7.685212
0.0,58,7.863946
3.0,94,8.122357
0.0,87,8.258648
1.0,78,8.466064
2.0,65,8.572429
-3.0,166,9.00325
-2.0,173,9.360753
-8.0,73,9.557761
2.0,80,9.683832
-4.0,54,9.849891
0.0,72,9.97629
0.0,87,10.199172
-3.0,144,10.58515
1.0,58,10.682446
1.0,101,10.935076
1.0,94,11.180113
-7.0,72,11.294099
3.0,108,11.555298
0.0,58,11.741616
1.0,101,11.987136
-10.0,87,12.130954
-2.0,72,12.336561
-8.0,72,12.457509
-3.0,94,12.700907
2.0,87,12.92884
0.0,72,13.043592
-12.0,87,13.262808
1.0,65,13.45238
-3.0,46,13.524719
0.0,87,13.750842
2.0,80,13.878935
1.0,72,14.078319
1.0,58,14.171624
-3.0,72,14.374937
0.0,44,14.443556
0.0,58,14.626129
-4.0,58,14.721333
0.0,65,14.906811
1.0,123,15.241468
-4.0,80,15.37782
-3.0,94,15.628661
1.0,51,15.707144
1.0,51,15.875173
0.0,65,15.987727
-4.0,80,16.195453
2.0,94,16.433271
2.0,80,16.568194
-4.0,63,16.770609
0.0,65,16.873498
-6.0,72,17.072122
3.0,94,17.221155
0.0,65,17.416366
0.0,58,17.516395
0.0,94,17.760122
-3.0,80,17.974108
-4.0,65,18.078808
0.0,65,18.293383
0.0,58,18.387585
-3.0,58,18.572055
-6.0,72,18.695829
-3.0,94,18.92703
0.0,58,19.018178
-4.0,87,19.248001
0.0,44,19.324425
-4.0,65,19.513394
-2.0,72,19.720155
-3.0,51,19.799463
-3.0,94,20.079301
-6.0,87,20.22168
1.0,58,20.40242
0.0,65,20.505643
2.0,80,20.720929
2.0,65,20.822106
0.0,87,21.043676
-8.0,65,21.226196
-12.0,72,21.345404
2.0,80,21.562518
-2.0,94,21.812127
0.0,58,21.908151
1.0,51,21.996313
-3.0,51,22.161536
1.0,51,22.240514
-3.0,44,22.396896
3.0,94,22.55087
3.0,94,22.787536
0.0,87,23.013881
1.0,82,23.148641
-4.0,58,23.324059
-10.0,231,23.867064
-3.0,72,23.982445
-4.0,80,24.197475
-4.0,65,24.302901
-3.0,87,24.538197
0.0,87,24.781164
-11.0,72,24.904125
-8.0,108,25.171248
0.0,72,25.370395
1.0,65,25.470544
2.0,65,25.664428
-3.0,80,25.802601
-5.0,90,26.037287
3.0,82,26.252083
-4.0,58,26.346547
0.0,44,26.416531
1.0,61,26.5988
1.0,45,26.67404
-1.0,94,26.918447
1.0,44,26.990682
1.0,72,27.191087
-3.0,73,27.307877
-12.0,69,27.500998
0.0,72,27.700293
-4.0,94,27.867968
-4.0,94,28.107537
-4.0,80,28.335513
0.0,51,28.41627
-12.0,87,28.634415
-4.0,72,28.754658
0.0,58,28.932926
0.0,94,29.08939
0.0,65,29.284905
-8.0,94,29.529115
0.0,72,29.643492
-3.0,94,29.888202
1.0,51,29.970989
-4.0,58,30.161411
-4.0,80,30.29519
-8.0,74,30.505023
-6.0,94,30.738205
1.0,59,30.836586
-8.0,72,31.038319
2.0,116,31.313449
-7.0,94,31.467485
0.0,65,31.652607
0.0,72,31.850848
0.0,58,31.944261
-3.0,72,32.148253
2.0,65,32.251519
0.0,49,32.331729
1.0,80,32.545712
1.0,80,32.756187
1.0,111,33.020792
-5.0,87,33.159206
-4.0,80,33.373813
0.0,44,33.456325
-4.0,65,33.642496
-2.0,44,33.719732
0.0,72,33.930783
2.0,65,34.039753
-7.0,51,34.208183
0.0,58,34.298591
2.0,65,34.396446
-4.0,72,34.589512
0.0,51,34.666011
2.0,65,34.869482
1.0,72,35.077989
2.0,94,35.226252
0.0,80,35.469431
2.0,72,35.601786
1.0,51,35.777545
1.0,44,35.866452
0.0,58,36.046667
-4.0,72,36.161656
0.0,72,36.354988
2.0,87,36.497474
0.0,87,36.714445
-3.0,101,36.970935
2.0,80,37.184932
0.0,44,37.255049
-1.0,58,37.346599
-4.0,87,37.571585
-3.0,93,37.799082
-4.0,51,37.893626
-8.0,80,38.105124
0.0,108,38.376788
-8.0,87,38.538369
-3.0,58,38.719597
-6.0,72,38.833491
-7.0,80,39.053634
0.0,87,39.271487
-2.0,44,39.340382
2.0,65,39.443319
-7.0,87,39.665066
1.0,51,39.826252
-3.0,80,39.964186
-4.0,51,40.139184
-7.0,100,40.294223
0.0,58,40.463571
0.0,58,40.55138
-2.0,97,40.779981
-7.0,80,40.995692
3.0,44,41.064797
0.0,58,41.159932
1.0,51,41.331661
-8.0,44,41.399395
2.0,87,41.614152
2.0,80,41.737166
-7.0,92,41.969013
0.0,44,42.121782
-2.0,78,42.246385
-3.0,65,42.442198
0.0,72,42.56251
-6.0,94,42.798119
-4.0,53,42.892818
0.0,116,43.175121
1.0,58,43.353155
3.0,65,43.459391
-8.0,87,43.687036
-4.0,65,43.795798
1.0,65,44.003306
-3.0,44,44.080573
-4.0,65,44.273026
-10.0,87,44.410524
-3.0,44,44.565914
-6.0,87,44.702835
2.0,80,44.913547
1.0,97,45.19622
-7.0,73,45.320279
0.0,44,45.473886
-4.0,44,45.547633
-14.0,98,45.787461
-4.0,87,46.029043
0.0,80,46.155897
-4.0,51,46.319576
1.0,101,46.469634
-8.0,44,46.624852
4.0,58,46.720635
-4.0,51,46.886837
0.0,51,46.978531
-3.0,87,47.200011
1.0,58,47.290095
-4.0,94,47.525147
-4.0,88,47.75745
-7.0,73,47.879587
-4.0,80,48.101084
-4.0,51,48.180731
-4.0,87,48.403737
1.0,58,48.493749
1.0,58,48.6711
3.0,91,48.815268
1.0,72,49.01965
1.0,72,49.215071
0.0,72,49.339026
-7.0,80,49.552199
3.0,52,49.633648
-4.0,44,49.699897
-3.0,80,49.915154
-3.0,51,50.013454
1.0,72,50.215977
0.0,72,50.413541
1.0,80,50.544015
1.0,44,50.699852
-3.0,65,50.804048
-4.0,94,51.060702
-4.0,80,51.200027
-4.0,80,51.417478
3.0,65,51.603162
0.0,51,51.682527
0.0,65,51.78231
2.0,51,51.945118
-3.0,108,52.213676
-4.0,65,52.315099
-3.0,51,52.48164
-4.0,65,52.590692
-4.0,65,52.775626
0.0,58,52.868512
-1.0,94,53.104766
0.0,58,53.196772
-8.0,80,53.409055
-8.0,44,53.47665
3.0,94,53.709496
-8.0,65,53.892413
0.0,65,53.99666
-1.0,94,54.241641
-4.0,80,54.37421
-3.0,65,54.569704
1.0,44,54.644816
-7.0,44,54.80035
1.0,108,54.968476
3.0,94,55.215602
0.0,87,55.437418
-4.0,51,55.514297
0.0,65,55.702247
-6.0,72,55.821682
1.0,101,56.071682
-6.0,72,56.283855
-4.0,72,56.396777
-4.0,80,56.611817
-3.0,72,56.736719
1.0,72,56.940299
2.0,65,57.043406
1.0,69,57.244616
-4.0,51,57.329192
-8.0,65,57.518262
0.0,87,57.745895
-4.0,58,57.842348
2.0,87,58.074752
-3.0,72,58.204858
0.0,80,58.418091
4.0,58,58.508489
-4.0,49,58.671179
-4.0,44,58.739808
1.0,58,58.912042
-2.0,107,59.07588
-4.0,65,59.274354
