eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
67.66666666666667,-2.3333333,24,0.00040217806,0.0,2.7076437,-0.0040585212,2.862008,-0.011437177658081055,1,256,10.580866741000023,256
76.16,-0.89,24,0.06586731,0.4388021,2.2251887,-0.059367802,0.009275359,-0.22504305839538574,500,128000,5171.791603098,128000
75.39,-1.05,24,0.118936844,0.44010416,1.6891478,-0.06628113,0.0091611175,-6.962156295776367,1000,256000,10350.678750539,256000
77.01,-1.13,24,0.15923323,0.4544271,1.5420452,-0.055850714,0.122192524,0.46718358993530273,1500,384000,15618.788973933,384000
78.84,-0.44,24,0.16425668,0.4205729,1.5105623,-0.021194698,0.057799906,0.06822669506072998,2000,512000,20896.694072592003,512000
77.51,-0.87,24,0.1706407,0.4127604,1.3639973,-0.051589947,0.048395127,0.31130796670913696,2500,640000,26159.63378218,640000
