eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.51,-2.950000047683716,83.35,-2.0799999237060547,27.0,0.001047951285727322,0.0007527669076807797,2.7070322036743164,-0.0011733704013749957,0.28473004698753357,-0.006158590316772461,1.0,256.0,593.7115636389999,16384.0
83.05,-2.2200000286102295,76.36,-1.9600000381469727,27.0,0.001932721701450646,0.0033365886192768812,2.696577787399292,-0.0008263245108537376,0.15023449063301086,0.027359306812286377,2.0,512.0,1197.030033155,32768.0
91.08,-3.109999895095825,85.22,-1.8899999856948853,27.0,0.003929137252271175,0.01639811135828495,2.684288263320923,-0.0025651378091424704,0.15879656374454498,0.08032876253128052,3.0,768.0,1791.0392598760002,49152.0
79.82,-1.8799999952316284,84.03,-2.4800000190734863,27.0,0.0017600577557459474,0.0063883461989462376,2.686265230178833,-0.0016812551766633987,0.13246311247348785,0.1478624939918518,4.0,1024.0,2397.155646473,65536.0
75.88,-2.490000009536743,79.77,-1.9800000190734863,27.0,0.00402753334492445,0.01847330667078495,2.66754412651062,-0.0022434706334024668,0.131495863199234,0.28521209955215454,5.0,1280.0,2989.011402045,81920.0
78.74,-2.5,80.55,-2.109999895095825,27.0,0.0024894566740840673,0.01664225198328495,2.6763031482696533,-0.002586111892014742,0.15222956240177155,0.3316408395767212,6.0,1536.0,3587.717197833,98304.0
