#{"t_start": 1620411457.1608877, "env_id": "procgen-fruitbot-v0"}
r,l,t
0.0,51,135.003543
0.0,44,135.070825
0.0,51,135.149494
0.0,44,135.301662
-4.0,72,135.417176
0.0,81,135.623265
0.0,81,135.841309
-4.0,80,135.968588
0.0,80,136.180691
0.0,94,136.441039
0.0,49,136.519488
-4.0,72,136.721136
0.0,51,136.800914
-4.0,80,137.009551
-4.0,72,137.122546
-4.0,51,137.297094
-7.0,137,137.584918
-4.0,82,137.721552
0.0,51,137.891991
-4.0,80,138.011962
-4.0,72,138.204135
-3.0,72,138.31177
0.0,55,138.482048
1.0,94,138.721596
0.0,80,138.846205
-4.0,51,139.008269
-4.0,108,139.176112
0.0,94,139.410289
0.0,108,139.665722
-4.0,51,139.755772
-4.0,80,139.965983
0.0,94,140.194508
0.0,44,140.262808
0.0,51,140.422681
0.0,89,140.563317
0.0,94,140.807052
0.0,44,140.878697
0.0,80,141.091391
0.0,84,141.302956
0.0,94,141.466609
-4.0,72,141.674427
0.0,108,141.937545
0.0,80,142.060216
-4.0,72,142.25512
-4.0,51,142.343973
-4.0,51,142.501231
0.0,80,142.625817
0.0,44,142.789968
-4.0,80,142.922051
0.0,80,143.144109
0.0,82,143.355115
-4.0,72,143.472027
-4.0,60,143.648737
0.0,80,143.776928
0.0,44,143.930942
-4.0,80,144.057523
-4.0,72,144.257118
-4.0,94,144.421664
-4.0,72,144.622977
-4.0,108,144.895916
1.0,94,145.133393
0.0,44,145.202823
-4.0,72,145.409583
0.0,66,145.51197
0.0,86,145.72485
-4.0,72,145.843002
0.0,58,146.017429
-3.0,81,146.147901
0.0,51,146.318408
0.0,51,146.400291
1.0,173,146.837929
-4.0,51,146.919733
-4.0,51,147.016752
0.0,58,147.19846
0.0,58,147.293634
-4.0,51,147.461407
0.0,51,147.543204
-8.0,88,147.771769
-4.0,51,147.864421
0.0,51,148.029417
0.0,51,148.106919
0.0,80,148.314158
0.0,51,148.394005
0.0,108,148.636141
0.0,94,148.866871
0.0,51,148.948962
-4.0,83,149.173091
-3.0,80,149.297612
-4.0,51,149.455473
0.0,44,149.522671
0.0,44,149.593634
0.0,44,149.742838
0.0,58,149.838838
0.0,108,150.088842
-4.0,80,150.29681
0.0,44,150.365719
-4.0,72,150.478345
0.0,82,150.694495
0.0,44,150.770441
-4.0,51,150.957286
-4.0,51,151.040096
0.0,108,151.294453
0.0,94,151.536177
0.0,58,151.632432
0.0,44,151.789495
-4.0,72,151.91452
0.0,44,152.068971
0.0,58,152.160439
-4.0,80,152.37054
0.0,108,152.531942
-4.0,51,152.688183
1.0,94,152.916836
0.0,108,153.088825
0.0,80,153.292557
0.0,58,153.383857
-4.0,72,153.582966
0.0,80,153.787288
-4.0,108,154.046043
0.0,94,154.211831
-4.0,72,154.42079
-4.0,72,154.534006
-4.0,72,154.739808
0.0,80,154.96698
0.0,94,155.121155
-4.0,46,248.663731
1.0,51,248.763652
-4.0,51,249.118602
-5.0,180,249.483422
-3.0,44,249.549777
0.0,51,249.710157
-8.0,44,249.785541
-12.0,108,250.049422
0.0,58,250.136616
-4.0,51,250.300087
2.0,101,250.562871
2.0,80,250.693151
-3.0,80,250.926298
0.0,58,251.02601
-4.0,58,251.208839
-8.0,137,251.539523
-11.0,80,251.674021
-11.0,80,251.899268
-4.0,58,252.079207
-8.0,80,252.211128
-4.0,58,252.394099
-4.0,58,252.487689
-4.0,72,252.701784
-3.0,51,252.795114
-7.0,80,253.009218
1.0,80,253.141732
-4.0,58,253.332229
0.0,58,253.442569
-7.0,80,253.657003
-11.0,80,253.792243
-11.0,80,254.010247
-12.0,108,254.274952
-4.0,58,254.370264
1.0,51,254.533739
-4.0,51,254.622384
2.0,80,254.851232
2.0,94,255.100364
-2.0,72,255.215685
2.0,94,255.447641
-7.0,108,255.697732
2.0,94,255.852373
1.0,94,256.086856
0.0,51,256.256007
0.0,80,256.385643
-4.0,58,256.571702
-4.0,80,256.693064
0.0,51,256.862619
-2.0,80,256.986223
-8.0,44,257.132304
0.0,51,257.225046
1.0,51,257.303709
-6.0,72,257.504596
-2.0,80,257.724771
1.0,80,257.850597
1.0,94,258.09113
-6.0,72,258.300217
-3.0,94,258.445724
-4.0,58,258.619447
-4.0,58,258.711205
-4.0,58,258.891673
-4.0,58,258.984816
-2.0,94,259.222473
-3.0,80,259.340622
-3.0,51,259.50403
-7.0,44,259.57607
-4.0,80,259.787852
-8.0,44,259.875487
-3.0,94,260.103819
-2.0,72,260.220327
-3.0,51,260.39019
1.0,108,260.648077
2.0,80,260.773221
-3.0,51,260.940338
-4.0,80,261.063109
-3.0,44,261.2133
0.0,51,261.29482
0.0,72,261.498821
1.0,108,261.675896
-2.0,94,261.919888
-2.0,72,262.11188
2.0,94,262.356441
-4.0,80,262.482374
-4.0,51,262.659831
0.0,108,262.831254
0.0,51,263.012397
2.0,94,263.242234
0.0,80,263.368217
-3.0,44,263.441512
-2.0,80,263.661524
-2.0,80,263.870885
-3.0,209,264.28894
-3.0,51,264.449595
-8.0,44,264.519034
-4.0,51,264.6027
-4.0,80,264.804061
1.0,108,265.052402
-3.0,80,265.258733
2.0,72,265.363846
2.0,209,265.89633
-3.0,80,266.027112
1.0,108,266.272029
-4.0,80,266.486916
0.0,51,266.569781
-11.0,80,266.775587
2.0,80,266.983709
-4.0,44,267.049555
1.0,209,267.581871
-4.0,80,267.713799
-3.0,80,267.924273
-10.0,209,268.348058
0.0,72,268.548266
-4.0,44,268.62047
0.0,51,268.779267
-3.0,80,268.898016
0.0,58,269.08067
