eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
82.26,-3.109999895095825,75.0,0.0006162946228869259,0.0,2.707402467727661,-0.00028855440905317664,0.46444228291511536,0.014630317687988281,1.0,256.0,217.364682644,16384.0
81.72,-2.2100000381469727,46.0,0.0012298066867515445,0.0010172525653615594,2.7034413814544678,-0.0006841080612502992,0.1531260758638382,0.04145681858062744,2.0,512.0,566.8315762789999,32768.0
81.31,-1.6299999952316284,46.0,0.0019676692318171263,0.0028889973182231188,2.689403772354126,-0.0008952849893830717,0.14566056430339813,0.12950170040130615,3.0,768.0,921.3108760819999,49152.0
83.07,-2.4700000286102295,60.0,0.0021751439198851585,0.0036824543494731188,2.6910412311553955,-0.0011403275420889258,0.1401090770959854,0.24883967638015747,4.0,1024.0,1194.351100568,65536.0
80.15,-1.9299999475479126,69.0,0.0006609944975934923,0.000244140625,2.696751356124878,-0.0009529432281851768,0.14927424490451813,0.3107457160949707,5.0,1280.0,1430.0777869199999,81920.0
83.19,-2.680000066757202,43.0,0.0008388262358494103,0.00042724609375,2.6940290927886963,-0.0014215834671631455,0.16536112129688263,0.3381813168525696,6.0,1536.0,1805.056923843,98304.0
80.75,-2.3499999046325684,61.0,0.001070406986400485,0.0013224283466115594,2.690622329711914,-0.0017436855705454946,0.12448623031377792,0.33941012620925903,7.0,1792.0,2073.203243117,114688.0
83.82,-2.7100000381469727,77.0,0.00295969913713634,0.012166340835392475,2.6745712757110596,-0.002183289499953389,0.1415591984987259,0.40478700399398804,8.0,2048.0,2284.765220918,131072.0
82.37,-2.319999933242798,77.0,0.0024716544430702925,0.010762532241642475,2.6741228103637695,-0.002865466522052884,0.12100493162870407,0.37124526500701904,9.0,2304.0,2495.347899279,147456.0
79.64,-2.049999952316284,75.0,0.003332622116431594,0.01792399026453495,2.6672372817993164,-0.003366051474586129,0.11873668432235718,0.4378069043159485,10.0,2560.0,2712.661467018,163840.0
87.1,-2.309999942779541,62.0,0.0034513287246227264,0.02447509765625,2.6563282012939453,-0.003591251326724887,0.11842136830091476,0.5078810751438141,11.0,2816.0,2976.539543453,180224.0
83.74,-2.1700000762939453,50.0,0.0034921809565275908,0.02244059182703495,2.6274781227111816,-0.004827181808650494,0.11887862533330917,0.5197912454605103,12.0,3072.0,3302.364913377,196608.0
82.13,-2.0199999809265137,56.0,0.004479983821511269,0.046630859375,2.606849431991577,-0.005331666674464941,0.11622770875692368,0.475424587726593,13.0,3328.0,3594.334707425,212992.0
79.09,-1.9299999475479126,54.0,0.006054134573787451,0.06988525390625,2.607673168182373,-0.009332058019936085,0.10325100272893906,0.5353141129016876,14.0,3584.0,3897.349784422,229376.0
77.46,-1.3700000047683716,57.0,0.005678040906786919,0.06170654296875,2.6046323776245117,-0.008691023103892803,0.08881723135709763,0.49178385734558105,15.0,3840.0,4183.459129719,245760.0
81.51,-0.7799999713897705,63.0,0.005568000953644514,0.0613810233771801,2.59218430519104,-0.010096662677824497,0.07316719740629196,0.5578439235687256,16.0,4096.0,4442.741847787001,262144.0
79.39,-0.9300000071525574,80.0,0.004646832123398781,0.04779052734375,2.579777717590332,-0.00878165103495121,0.08141759783029556,0.5579120516777039,17.0,4352.0,4645.792951046,278528.0
81.26,-0.9900000095367432,79.0,0.006005825009196997,0.0712687149643898,2.5715882778167725,-0.01208427269011736,0.06807583570480347,0.5141452550888062,18.0,4608.0,4851.534348554,294912.0
79.04,-0.6399999856948853,58.0,0.007111509796231985,0.0882364884018898,2.5734596252441406,-0.012450385838747025,0.061750251799821854,0.5338536202907562,19.0,4864.0,5131.899735599,311296.0
87.49,0.0,52.0,0.007854459807276726,0.1014811173081398,2.5739235877990723,-0.012387522496283054,0.048498135060071945,0.5219613611698151,20.0,5120.0,5442.216341288,327680.0
78.06,-0.25999999046325684,63.0,0.007602543104439974,0.09820556640625,2.5703392028808594,-0.010801333002746105,0.053197622299194336,0.43289804458618164,21.0,5376.0,5700.402573309,344064.0
81.6,-0.10000000149011612,57.0,0.00795611273497343,0.1041666641831398,2.559260129928589,-0.011450701393187046,0.05162316933274269,0.4350942373275757,22.0,5632.0,5986.990363994,360448.0
79.66,0.5199999809265137,60.0,0.007950570434331894,0.1043701171875,2.563420534133911,-0.01234349887818098,0.04298488795757294,0.41563862562179565,23.0,5888.0,6259.8211138920005,376832.0
81.94,0.8199999928474426,58.0,0.0086356271058321,0.1177978515625,2.561174154281616,-0.010401624254882336,0.03802686557173729,0.3357052803039551,24.0,6144.0,6540.613745447,393216.0
82.39,0.28999999165534973,55.0,0.009069932624697685,0.1214396134018898,2.556791067123413,-0.013907494954764843,0.04727776721119881,0.39731889963150024,25.0,6400.0,6834.240995757,409600.0
82.93,0.6200000047683716,63.0,0.00802900455892086,0.1048990860581398,2.5403549671173096,-0.013570386916399002,0.039681460708379745,0.3730875849723816,26.0,6656.0,7091.580088675,425984.0
81.81,0.8999999761581421,61.0,0.009350338950753212,0.1252848356962204,2.561443567276001,-0.012845292687416077,0.037537019699811935,0.4025994539260864,27.0,6912.0,7358.792198724001,442368.0
85.37,1.1200000047683716,65.0,0.009518537670373917,0.1245931014418602,2.5369155406951904,-0.013807889074087143,0.04660366103053093,0.4451409578323364,28.0,7168.0,7610.257580445,458752.0
93.34,1.190000057220459,62.0,0.011894673109054565,0.1556396484375,2.5374491214752197,-0.012335267849266529,0.047620415687561035,0.4263176918029785,29.0,7424.0,7871.449947063,475136.0
78.64,1.059999942779541,57.0,0.009539669379591942,0.1259969025850296,2.526275396347046,-0.01626318320631981,0.04783071205019951,0.4511067867279053,30.0,7680.0,8157.183748486,491520.0
84.08,1.5499999523162842,61.0,0.010735676623880863,0.14556884765625,2.5303988456726074,-0.015580457635223866,0.03578652814030647,0.5393724739551544,31.0,7936.0,8424.011910095,507904.0
