#{"t_start": 1620417643.3996675, "env_id": "procgen-fruitbot-v0"}
r,l,t
-8.0,72,106.641301
0.0,51,106.828765
0.0,72,107.17881
1.0,72,107.489752
4.0,137,108.048362
0.0,80,108.424936
0.0,65,108.7131
1.0,65,108.996181
0.0,58,109.226109
1.0,123,109.734878
2.0,72,110.016666
0.0,44,110.211149
-4.0,65,110.449317
-3.0,72,110.74403
-3.0,87,111.104605
-1.0,94,111.495949
-4.0,65,111.75573
2.0,101,112.157141
-4.0,51,112.423308
1.0,44,112.637376
-3.0,80,112.972495
-4.0,65,113.244544
-4.0,65,113.492829
-11.0,87,113.823097
-4.0,65,114.085369
0.0,44,114.272828
-2.0,72,114.607515
-2.0,72,114.99736
0.0,44,115.20566
-9.0,87,115.612689
-7.0,72,115.91149
-7.0,137,116.446222
-4.0,65,116.696427
-7.0,144,117.29978
-3.0,51,117.574457
-4.0,65,117.848054
0.0,58,118.082417
0.0,72,118.408837
-4.0,58,118.644381
-1.0,159,119.321975
-7.0,72,119.627313
0.0,58,119.895664
0.0,80,120.244553
0.0,65,120.515147
1.0,51,120.722191
2.0,94,121.206694
1.0,94,121.583666
1.0,72,121.934392
1.0,101,122.442617
-3.0,44,122.592067
-4.0,58,122.858026
1.0,80,123.166383
-4.0,80,123.511187
2.0,65,123.796494
-4.0,65,124.101275
0.0,72,124.379079
0.0,51,124.670069
-4.0,58,124.898494
0.0,44,125.091404
-4.0,51,125.26127
0.0,87,125.653724
3.0,159,126.414217
1.0,72,126.745006
2.0,94,127.187802
-2.0,94,127.623776
0.0,87,127.958812
-3.0,51,128.216631
-2.0,94,128.579024
-3.0,72,128.891715
1.0,65,129.174172
0.0,58,129.414156
1.0,94,129.846345
2.0,65,130.150307
0.0,72,130.468885
-3.0,94,130.795467
-3.0,80,131.127361
0.0,87,131.525705
-4.0,58,131.732636
0.0,72,131.951288
-3.0,80,132.317625
1.0,44,132.487513
-4.0,65,132.793407
2.0,72,133.108731
1.0,94,133.515686
-7.0,144,134.122665
-8.0,44,134.289777
-4.0,72,134.628442
0.0,87,135.025936
-3.0,80,135.407032
1.0,58,135.690808
1.0,44,135.88046
1.0,80,136.231282
2.0,159,137.015362
-4.0,94,137.373864
-4.0,88,137.813455
-3.0,87,138.241122
-2.0,231,139.274985
0.0,58,139.514237
1.0,44,139.68397
1.0,65,139.971925
0.0,58,140.171353
-2.0,231,141.172683
1.0,51,141.411018
1.0,65,141.693462
-4.0,80,142.050172
1.0,238,143.104301
1.0,44,143.29043
1.0,65,143.51299
2.0,71,143.773113
0.0,65,144.022449
-1.0,159,144.728715
0.0,65,145.008516
0.0,44,145.187128
-2.0,245,146.293313
-3.0,91,146.691119
-3.0,58,146.944251
1.0,65,147.209822
0.0,72,147.546298
1.0,94,147.990365
-8.0,67,148.23614
0.0,87,148.614771
-4.0,94,149.004567
-2.0,65,149.232024
-4.0,94,149.586872
-8.0,65,149.884234
0.0,80,150.237772
1.0,72,150.516383
-3.0,159,151.241851
-6.0,144,151.76477
-11.0,152,152.483439
1.0,108,152.906424
-3.0,87,153.255416
-4.0,94,153.64179
-6.0,159,154.287442
-7.0,137,154.834236
-3.0,76,155.162475
-4.0,58,155.452697
-7.0,94,155.847097
-4.0,80,156.149741
2.0,87,156.528728
1.0,51,156.712371
0.0,51,156.980146
3.0,72,157.251555
-7.0,44,157.449038
-4.0,87,157.743261
-8.0,94,158.161793
-11.0,231,159.161988
-3.0,144,159.729333
-3.0,80,160.063519
2.0,44,160.287944
1.0,58,160.48927
-7.0,72,160.811524
-4.0,58,161.052751
-3.0,94,161.449833
0.0,51,161.665469
-8.0,152,162.284847
-9.0,188,163.028927
0.0,87,163.391152
1.0,58,163.602664
-11.0,94,164.025534
-5.0,159,164.706057
-3.0,58,165.017374
0.0,65,165.282251
0.0,80,165.642058
-4.0,72,165.983012
-4.0,72,166.26741
-4.0,60,166.534806
-8.0,65,166.858267
-4.0,51,167.052978
0.0,44,167.229249
2.0,65,167.539841
-3.0,58,167.790369
1.0,94,168.184013
1.0,87,168.580971
0.0,65,168.84612
-7.0,94,169.244258
0.0,87,169.604656
-3.0,72,169.864117
2.0,80,170.210822
-4.0,58,170.438561
-2.0,173,171.104121
0.0,65,171.353813
-4.0,87,171.769713
2.0,116,172.252727
1.0,65,172.515108
-12.0,87,172.869302
0.0,72,173.180838
3.0,65,173.46326
0.0,65,173.728822
1.0,108,174.264727
1.0,80,174.58884
0.0,65,174.841522
0.0,72,175.153097
0.0,65,175.427827
0.0,72,175.741723
0.0,80,176.078943
1.0,108,176.526933
0.0,72,176.822957
0.0,65,177.180324
-3.0,94,177.603812
-8.0,51,177.851039
2.0,80,178.223813
1.0,101,178.592354
2.0,94,178.992719
1.0,87,179.348394
0.0,65,179.597126
-4.0,72,179.939695
-11.0,94,180.388859
-3.0,51,180.653482
-4.0,80,180.997709
0.0,94,181.467106
-1.0,87,181.8278
1.0,101,182.291307
0.0,51,182.476315
-8.0,65,182.774255
1.0,101,183.193054
0.0,108,183.590555
2.0,58,183.772814
0.0,72,184.164168
0.0,108,184.662968
-8.0,51,184.885884
2.0,94,185.286138
-4.0,80,185.589751
0.0,51,185.772846
0.0,87,186.11904
-4.0,80,186.410119
0.0,72,186.712469
1.0,72,187.030629
1.0,101,187.477841
-4.0,58,187.690696
0.0,58,187.87124
-4.0,44,188.048183
0.0,72,188.313152
0.0,87,188.714606
-4.0,58,188.963939
0.0,44,189.1229
-4.0,51,189.353111
-4.0,80,189.684915
0.0,65,190.002963
-4.0,72,190.305137
1.0,58,190.601037
-7.0,94,190.981483
0.0,108,191.408434
0.0,72,191.704
2.0,65,191.956321
2.0,94,192.422685
-14.0,209,193.353928
0.0,72,193.687999
-12.0,152,194.249278
-3.0,80,194.649826
0.0,72,194.952388
-4.0,80,195.283834
0.0,87,195.619449
1.0,44,195.808014
3.0,166,196.491423
0.0,87,196.823079
0.0,44,197.016187
-4.0,44,197.196513
0.0,65,197.511443
-4.0,80,197.8633
0.0,58,198.111306
0.0,80,198.471833
1.0,51,198.667166
0.0,65,198.953777
2.0,137,199.558687
-4.0,72,199.879027
2.0,159,200.563803
0.0,80,200.901085
1.0,94,201.306016
0.0,72,201.569786
0.0,72,201.883704
1.0,108,202.290355
-8.0,152,203.009909
0.0,72,203.286723
0.0,87,203.707074
-7.0,72,203.977883
-3.0,58,204.21186
-4.0,58,204.489051
-4.0,94,204.891404
0.0,80,205.248593
1.0,44,205.407516
-2.0,51,205.636221
-8.0,108,206.090697
0.0,87,206.479811
0.0,58,206.791163
2.0,72,207.103537
-4.0,58,207.372691
-4.0,44,207.570184
0.0,80,207.890251
-8.0,108,208.313045
0.0,58,208.583951
3.0,87,208.954867
0.0,52,209.133085
0.0,72,209.430903
0.0,51,209.618423
-1.0,159,210.286083
0.0,72,210.646719
2.0,80,210.978664
0.0,87,211.345634
1.0,94,211.811284
1.0,99,212.273562
3.0,65,212.540244
-3.0,87,212.888067
1.0,101,213.370029
-4.0,80,213.763025
2.0,94,214.151027
0.0,80,214.526767
0.0,80,214.927718
1.0,80,215.239789
0.0,44,215.403794
-4.0,94,215.843547
0.0,80,216.198845
0.0,65,216.452799
2.0,87,216.860891
0.0,65,217.095353
1.0,80,217.394218
0.0,65,217.661244
-7.0,94,218.093683
0.0,80,218.435418
0.0,72,218.740392
0.0,72,219.01382
0.0,108,219.568971
-2.0,87,219.917489
1.0,65,220.242865
-3.0,94,220.670192
-1.0,152,221.243326
1.0,44,221.451856
0.0,72,221.722678
0.0,80,222.090463
0.0,58,222.363168
1.0,51,222.614839
-7.0,72,222.926039
0.0,130,223.514072
0.0,72,223.815878
0.0,116,224.324206
-4.0,65,224.574299
-2.0,51,224.814522
0.0,94,225.159891
-4.0,58,225.392924
-4.0,72,225.669393
0.0,72,225.986467
-3.0,72,226.322588
0.0,87,226.694276
3.0,144,227.304897
-4.0,65,227.587725
0.0,65,227.882786
0.0,87,228.24182
0.0,72,228.513943
0.0,80,228.892704
-3.0,58,229.11896
0.0,44,229.308473
-8.0,65,229.601681
1.0,195,230.396076
3.0,130,231.026239
0.0,94,231.380638
-2.0,159,232.075482
1.0,44,232.320131
-4.0,94,232.779088
-4.0,130,233.321671
2.0,73,233.644134
0.0,51,233.842403
0.0,87,234.189024
0.0,44,234.393232
1.0,72,234.702099
0.0,65,235.003115
0.0,72,235.310083
0.0,58,235.56588
-4.0,58,235.821166
0.0,58,236.107081
-2.0,72,236.454242
-4.0,94,236.796833
-3.0,144,237.468329
1.0,44,237.710342
0.0,65,237.971819
2.0,72,238.313484
-4.0,80,238.610766
1.0,101,239.083131
-8.0,94,239.517854
1.0,44,239.69184
0.0,65,239.993106
0.0,65,240.305389
1.0,44,240.47568
-7.0,87,240.83777
0.0,51,241.064499
0.0,72,241.368963
0.0,87,241.773548
-4.0,58,242.021927
2.0,44,242.240506
1.0,72,242.534905
1.0,72,242.863954
1.0,94,243.279089
0.0,58,243.496359
1.0,58,243.791558
0.0,65,244.052533
2.0,72,244.409635
-4.0,65,244.663974
-2.0,87,245.027289
1.0,101,245.422876
1.0,80,245.751487
-3.0,80,246.067523
0.0,58,246.291115
-3.0,58,246.575274
-3.0,51,246.835255
-4.0,65,247.104769
1.0,72,247.378476
2.0,65,247.694358
1.0,65,248.012914
0.0,44,248.202797
0.0,80,248.525458
0.0,87,248.859361
0.0,44,249.060338
-3.0,44,249.211367
1.0,72,249.539083
0.0,44,249.713964
0.0,72,249.994076
1.0,101,250.39249
1.0,44,250.584227
1.0,80,250.968037
-4.0,58,251.175552
0.0,58,251.402747
1.0,44,251.639889
-4.0,94,252.019325
2.0,94,252.44633
0.0,101,252.881638
0.0,65,253.149171
-3.0,87,253.561027
-3.0,58,253.819175
0.0,72,254.071541
2.0,159,254.7264
0.0,72,255.07115
-1.0,159,255.771711
0.0,80,256.127431
-12.0,144,256.748062
-4.0,94,257.12134
1.0,101,257.527384
